ValidedTID,Check
2010105813-7,
2010105814-5,
2010105815-2,
2010105816-0,
2010105817-8,
2010105818-6,
2010105820-2,
2010105821-0,
2010105822-8,
2010105823-6,
2010105824-4,
2010105826-9,
2010105827-7,
2010105828-5,
2010105829-3,
2010105830-1,
2010105831-9,
2010105833-5,
2010105834-3,
2010105835-0,
2010105836-8,
2010105837-6,
2010105838-4,
2010105839-2,
2010105842-6,
2010105843-4,
2010105844-2,
2010105845-9,
2010105846-7,
2010105848-3,
2010105850-9,
2010105851-7,
2010105852-5,
2010105853-3,
2010105854-1,
2010105855-8,
2010105856-6,
2010105857-4,
2010105858-2,
2010105859-0,
2010105861-6,
2010105862-4,
2010105863-2,
2010105864-0,
2010105865-7,
2010105866-5,
2010105867-3,
2010105868-1,
2010105869-9,
2010105871-5,
2010105872-3,
2010105873-1,
2010105874-9,
2010105875-6,
2010105876-4,
2010105877-2,
2010105878-0,
2010105879-8,
2010105880-6,
2010105881-4,
2010105884-8,
2010105886-3,
2010105887-1,
2010105888-9,
2010105889-7,
2010105890-5,
2010105891-3,
2010105894-7,
2010105895-4,
2010105896-2,
2010105897-0,
2010105898-8,
2010105899-6,
2010105900-2,
2010105901-0,
2010105902-8,
2010105903-6,
2010105904-4,
2010105905-1,
2010105906-9,
2010105907-7,
2010105908-5,
2010105909-3,
2010105910-1,
2010105911-9,
2010105912-7,
2010105913-5,
2010105914-3,
2010105915-0,
2010105916-8,
2010105917-6,
2010105918-4,
2010105919-2,
2010105920-2,
2010105921-8,
2010105922-6,
2010105923-4,
2010105924-2,
2010105925-9,
2010105926-7,
2010105927-5,
2010105928-3,
2010105929-1,
2010105930-9,
2010105931-7,
2010105933-3,
2010105934-1,
2010105935-8,
2010105936-6,
2010105937-4,
2010105938-2,
2010105939-0,
2010105940-8,
2010105941-6,
2010105942-4,
2010105943-2,
2010105944-0,
2010105945-7,
2010105946-5,
2010105947-3,
2010105948-1,
2010105949-9,
2010105950-7,
2010105951-5,
2010105952-3,
2010105953-1,
2010105954-9,
2010105955-6,
2010105956-4,
2010105957-2,
2010105958-0,
2010105960-6,
2010105962-2,
2010105963-0,
2010105964-8,
2010105965-5,
2010105966-3,
2010105967-1,
2010105968-9,
2010105969-7,
2010105970-5,
2010105971-3,
2010105972-1,
2010105973-9,
2010105974-7,
2010105976-2,
2010105977-0,
2010105978-8,
2010105979-6,
2010105980-4,
2010105981-2,
2010105982-0,
2010105983-8,
2010105984-6,
2010105985-3,
2010105986-1,
2010105987-9,
2010105988-7,
2010105989-5,
2010105990-3,
2010105991-1,
2010105992-9,
2010105993-7,
2010105994-5,
2010105995-2,
2010105996-0,
2010105997-8,
2010105998-6,
2010105999-4,
2010106000-0,
2010106001-8,
2010106002-6,
2010106003-4,
2010106004-2,
2010106005-9,
2010106006-7,
2010106007-5,
2010106008-3,
2010106009-1,
2010106010-9,
2010106011-7,
2010106012-5,
2010106013-3,
2010106014-1,
2010106015-8,
2010106016-6,
2010106017-4,
2010106018-2,
2010106019-0,
2010106020-8,
2010106021-6,
2010106022-4,
2010106023-2,
2010106024-0,
2010106025-7,
2010106026-5,
2010106027-3,
2010106028-1,
2010106029-9,
2010106030-7,
2010106031-5,
2010106032-3,
2010106033-1,
2010106034-9,
2010106036-4,
2010106039-8,
2010106040-6,
2010106041-4,
2010106042-2,
2010106043-0,
2010106045-5,
2010106046-3,
2010106048-9,
2010106049-7,
2010106050-5,
2010106051-3,
2010106052-1,
2010106053-9,
2010106054-7,
2010106056-2,
2010106057-0,
2010106058-8,
2010106059-6,
2010106060-4,
2010106061-2,
2010106062-0,
2010106063-8,
2010106064-6,
2010106065-3,
2010106066-1,
2010106067-9,
2010106068-7,
2010106069-5,
2010106070-3,
2010106071-1,
2010106072-9,
2010106073-7,
2010106074-5,
2010106075-2,
2010106076-0,
2010106077-8,
2010106078-6,
2010106079-4,
2010106080-2,
2010106081-0,
2010106082-8,
2010106083-6,
2010106084-4,
2010106085-1,
2010106086-9,
2010106087-7,
2010106088-5,
2010106090-1,
2010106091-9,
2010106092-7,
2010106094-3,
2010106095-0,
2010106096-8,
2010106097-6,
2010106098-4,
2010106099-2,
2010106100-8,
2010106101-6,
2010106102-4,
2010106104-0,
2010106105-7,
2010106106-5,
2010106107-3,
2010106109-9,
2010106110-7,
2010106111-5,
2010106112-3,
2010106114-9,
2010106115-6,
2010106116-4,
2010106117-2,
2010106118-0,
2010106119-8,
2010106120-6,
2010106121-4,
2010106122-2,
2010106123-0,
2010106124-8,
2010106125-5,
2010106126-3,
2010106127-1,
2010106128-9,
2010106129-7,
2010106130-5,
2010106131-3,
2010106132-1,
2010106133-9,
2010106134-7,
2010106135-4,
2010106136-2,
2010106138-8,
2010106139-6,
2010106140-4,
2010106141-2,
2010106142-0,
2010106143-8,
2010106144-6,
2010106145-3,
2010106146-1,
2010106147-9,
2010106148-7,
2010106149-5,
2010106150-3,
2010106151-1,
2010106153-7,
2010106154-5,
2010106155-2,
2010106156-0,
2010106157-8,
2010106158-6,
2010106159-4,
2010106160-2,
2010106161-0,
2010106163-6,
2010106164-4,
2010106165-1,
2010106166-9,
2010106168-5,
2010106169-3,
2010106170-1,
2010106171-9,
2010106172-7,
2010106173-5,
2010106174-3,
2010106175-0,
2010106176-8,
2010106177-6,
2010106178-4,
2010106179-2,
2010106180-0,
2010106181-8,
2010106182-6,
2010106183-4,
2010106184-2,
2010106185-9,
2010106186-7,
2010106188-3,
2010106189-1,
2010106190-9,
2010106192-5,
2010106193-3,
2010106194-1,
2010106195-8,
2010106196-6,
2010106197-4,
2010106198-2,
2010106199-0,
2010106200-6,
2010106201-4,
2010106203-0,
2010106204-8,
2010106205-5,
2010106206-3,
2010106207-1,
2010106208-9,
2010106209-7,
2010106210-5,
2010106211-3,
2010106212-1,
2010106213-9,
2010106215-4,
2010106216-2,
2010106217-0,
2010106218-8,
2010106219-6,
2010106220-4,
2010106221-2,
2010106222-0,
2010106223-8,
2010106224-6,
2010106225-3,
2010106226-1,
2010106227-9,
2010106228-7,
2010106229-5,
2010106230-3,
2010106231-1,
2010106232-9,
2010106233-7,
2010106234-5,
2010106235-2,
2010106236-0,
2010106237-8,
2010106239-4,
2010106240-2,
2010106241-0,
2010106242-8,
2010106243-6,
2010106244-4,
2010106245-1,
2010106246-9,
2010106247-7,
2010106248-5,
2010106249-3,
2010106250-1,
2010106251-9,
2010106252-7,
2010106253-5,
2010106254-3,
2010106255-0,
2010106256-8,
2010106257-6,
2010106258-4,
2010106259-2,
2010106260-0,
2010106261-8,
2010106262-6,
2010106263-4,
2010106264-2,
2010106266-7,
2010106267-5,
2010106268-3,
2010106269-1,
2010106270-9,
2010106272-5,
2010106273-3,
2010106274-1,
2010106275-8,
2010106276-6,
2010106277-4,
2010106278-2,
2010106279-0,
2010106280-8,
2010106281-6,
2010106282-4,
2010106283-2,
2010106284-0,
2010106285-7,
2010106287-3,
2010106289-9,
2010106290-7,
2010106291-5,
2010106292-3,
2010106293-1,
2010106294-9,
2010106295-6,
2010106296-4,
2010106297-2,
2010106298-0,
2010106299-8,
2010106300-4,
2010106301-2,
2010106302-0,
2010106303-8,
2010106304-6,
2010106305-3,
2010106307-9,
2010106308-7,
2010106309-5,
2010106310-3,
2010106311-1,
2010106312-9,
2010106313-7,
2010106314-5,
2010106315-2,
2010106316-0,
2010106317-8,
2010106318-6,
2010106319-4,
2010106320-2,
2010106321-0,
2010106323-6,
2010106324-4,
2010106325-1,
2010106326-9,
2010106327-7,
2010106328-5,
2010106329-3,
2010106330-1,
2010106331-9,
2010106332-7,
2010106334-3,
2010106335-0,
2010106336-8,
2010106337-6,
2010106338-4,
2010106339-2,
2010106340-0,
2010106341-8,
2010106342-6,
2010106343-4,
2010106344-2,
2010106345-9,
2010106346-7,
2010106347-5,
2010106348-3,
2010106349-1,
2010106350-9,
2010106351-7,
2010106352-5,
2010106353-3,
2010106356-6,
2010106357-4,
2010106358-2,
2010106359-0,
2010106360-8,
2010106361-6,
2010106362-4,
2010106363-2,
2010106364-0,
2010106365-7,
2010106366-5,
2010106367-3,
2010106368-1,
2010106369-9,
2010106370-7,
2010106371-5,
2010106372-3,
2010106374-9,
2010106375-6,
2010106376-4,
2010106377-2,
2010106378-0,
2010106379-8,
2010106380-6,
2010106381-4,
2010106382-2,
2010106383-0,
2010106384-8,
2010106385-5,
2010106386-3,
2010106388-9,
2010106389-7,
2010106390-5,
2010106391-3,
2010106392-1,
2010106394-7,
2010106395-4,
2010106396-2,
2010106397-0,
2010106398-8,
2010106401-0,
2010106402-8,
2010106404-4,
2010106405-1,
2010106406-9,
2010106407-7,
2010106408-5,
2010106409-3,
2010106410-1,
2010106412-7,
2010106413-5,
2010106414-3,
2010106415-0,
2010106416-8,
2010106417-6,
2010106418-4,
2010106419-2,
2010106420-0,
2010106421-8,
2010106422-6,
2010106424-2,
2010106425-9,
2010106426-7,
2010106427-5,
2010106428-3,
2010106429-1,
2010106430-9,
2010106431-7,
2010106432-5,
2010106433-3,
2010106434-1,
2010106435-8,
2010106436-6,
2010106437-4,
2010106438-2,
2010106439-0,
2010106440-8,
2010106441-6,
2010106442-4,
2010106443-2,
2010106444-0,
2010106445-7,
2010106446-5,
2010106447-3,
2010106448-1,
2010106449-9,
2010106450-7,
2010106452-3,
2010106453-1,
2010106454-9,
2010106455-6,
2010106456-4,
2010106457-2,
2010106458-0,
2010106459-8,
2010106460-6,
2010106461-4,
2010106462-2,
2010106463-0,
2010106464-8,
2010106465-5,
2010106467-1,
2010106468-9,
2010106470-5,
2010106471-3,
2010106472-1,
2010106473-9,
2010106474-7,
2010106475-4,
2010106476-2,
2010106478-8,
2010106479-6,
2010106480-4,
2010106482-0,
2010106483-8,
2010106484-6,
2010106485-3,
2010106486-1,
2010106487-9,
2010106488-7,
2010106489-5,
2010106491-1,
2010106492-9,
2010106493-7,
2010106495-2,
2010106496-0,
2010106497-8,
2010106498-6,
2010106499-4,
2010106500-9,
2010106501-7,
2010106502-5,
2010106503-3,
2010106504-1,
2010106506-6,
2010106508-2,
2010106509-0,
2010106510-8,
2010106511-6,
2010106512-4,
2010106513-2,
2010106514-0,
2010106515-7,
2010106516-5,
2010106517-3,
2010106518-1,
2010106519-9,
2010106520-7,
2010106521-5,
2010106522-3,
2010106523-1,
2010106524-9,
2010106525-6,
2010106526-4,
2010106527-2,
2010106529-8,
2010106530-6,
2010106531-4,
2010106532-2,
2010106534-8,
2010106536-3,
2010106537-1,
2010106539-7,
2010106540-5,
2010106541-3,
2010106542-1,
2010106543-9,
2010106544-7,
2010106545-4,
2010106546-2,
2010106547-0,
2010106548-8,
2010106550-4,
2010106551-2,
2010106552-0,
2010106553-8,
2010106554-6,
2010106555-3,
2010106556-1,
2010106557-9,
2010106558-7,
2010106559-5,
2010106562-9,
2010106563-7,
2010106565-2,
2010106566-0,
2010106567-8,
2010106568-6,
2010106569-4,
2010106570-2,
2010106571-0,
2010106573-6,
2010106574-4,
2010106575-1,
2010106576-9,
2010106577-7,
2010106578-5,
2010106579-3,
2010106580-1,
2010106583-5,
2010106584-3,
2010106585-0,
2010106586-8,
2010106587-6,
2010106588-4,
2010106589-2,
2010106590-0,
2010106591-8,
2010106592-6,
2010106593-4,
2010106595-9,
2010106596-7,
2010106597-5,
2010106598-3,
2010106599-1,
2010106600-7,
2010106601-5,
2010106602-3,
2010106607-2,
2010106608-0,
2010106609-8,
2010106611-4,
2010106613-0,
2010106614-8,
2010106615-5,
2010106616-3,
2010106617-1,
2010106618-9,
2010106619-7,
2010106621-3,
2010106622-1,
2010106623-9,
2010106624-7,
2010106625-4,
2010106626-2,
2010106627-0,
2010106628-8,
2010106629-6,
2010106630-4,
2010106631-2,
2010106632-0,
2010106633-8,
2010106634-6,
2010106635-3,
2010106636-1,
2010106638-7,
2010106639-5,
2010106640-3,
2010106641-1,
2010106642-9,
2010106643-7,
2010106644-5,
2010106645-2,
2010106646-0,
2010106648-6,
2010106650-2,
2010106651-0,
2010106652-8,
2010106653-6,
2010106654-4,
2010106656-9,
2010106658-5,
2010106659-3,
2010106660-1,
2010106661-9,
2010106662-7,
2010106663-5,
2010106664-3,
2010106665-0,
2010106666-8,
2010106668-4,
2010106669-2,
2010106670-0,
2010106671-8,
2010106672-6,
2010106673-4,
2010106674-2,
2010106675-9,
2010106676-7,
2010106677-5,
2010106678-3,
2010106679-1,
2010106680-9,
2010106681-7,
2010106682-5,
2010106683-3,
2010106684-1,
2010106686-6,
2010106687-4,
2010106688-2,
2010106690-8,
2010106691-6,
2010106692-4,
2010106693-2,
2010106694-0,
2010106695-7,
2010106696-5,
2010106697-3,
2010106698-1,
2010106699-9,
2010106700-5,
2010106701-3,
2010106703-9,
2010106704-7,
2010106705-4,
2010106706-2,
2010106707-0,
2010106708-8,
2010106709-4,
2010106710-4,
2010106711-2,
2010106713-8,
2010106714-6,
2010106715-3,
2010106716-1,
2010106717-9,
2010106718-7,
2010106719-5,
2010106720-3,
2010106721-1,
2010106722-9,
2010106724-5,
2010106726-0,
2010106727-8,
2010106728-6,
2010106729-4,
2010106730-2,
2010106731-0,
2010106732-8,
2010106733-6,
2010106734-4,
2010106735-1,
2010106737-7,
2010106738-5,
2010106739-3,
2010106740-1,
2010106742-7,
2010106743-5,
2010106744-3,
2010106745-0,
2010106746-8,
2010106747-6,
2010106748-4,
2010106749-2,
2010106750-0,
2010106751-8,
2010106752-6,
2010106753-4,
2010106754-2,
2010106755-9,
2010106756-7,
2010106757-5,
2010106758-3,
2010106759-1,
2010106760-9,
2010106761-7,
2010106762-5,
2010106763-3,
2010106764-1,
2010106765-8,
2010106766-6,
2010106767-4,
2010106768-2,
2010106769-0,
2010106770-8,
2010106771-6,
2010106772-4,
2010106773-2,
2010106774-0,
2010106775-7,
2010106776-5,
2010106777-3,
2010106778-1,
2010106779-9,
2010106780-7,
2010106781-5,
2010106782-3,
2010106785-6,
2010106786-4,
2010106787-2,
2010106788-0,
2010106789-8,
2010106790-6,
2010106791-4,
2010106792-2,
2010106793-0,
2010106794-8,
2010106795-5,
2010106799-7,
2010106800-3,
2010106801-1,
2010106802-9,
2010106803-5,
2010106804-5,
2010106805-2,
2010106806-0,
2010106807-8,
2010106808-6,
2010106809-4,
2010106810-2,
2010106811-0,
2010106812-8,
2010106813-6,
2010106815-1,
2010106817-7,
2010106818-5,
2010106819-3,
2010106820-1,
2010106821-9,
2010106822-7,
2010106823-3,
2010106823-5,
2010106824-3,
2010106825-0,
2010106826-8,
2010106827-6,
2010106828-4,
2010106829-2,
2010106830-0,
2010106831-8,
2010106832-6,
2010106833-4,
2010106836-7,
2010106837-5,
2010106838-3,
2010106839-1,
2010106840-9,
2010106841-7,
2010106842-5,
2010106843-3,
2010106844-1,
2010106845-8,
2010106846-6,
2010106847-4,
2010106848-2,
2010106849-0,
2010106850-8,
2010106851-6,
2010106852-4,
2010106853-2,
2010106854-0,
2010106855-7,
2010106856-5,
2010106857-3,
2010106858-1,
2010106859-9,
2010106860-7,
2010106861-5,
2010106862-3,
2010106863-1,
2010106864-9,
2010106865-6,
2010106866-4,
2010106868-0,
2010106869-8,
2010106870-6,
2010106871-4,
2010106872-2,
2010106873-0,
2010106874-8,
2010106875-5,
2010106876-3,
2010106877-1,
2010106878-9,
2010106879-7,
2010106880-5,
2010106881-3,
2010106882-1,
2010106883-9,
2010106884-7,
2010106885-4,
2010106886-2,
2010106887-0,
2010106888-8,
2010106889-6,
2010106890-4,
2010106891-2,
2010106893-8,
2010106894-6,
2010106895-3,
2010106896-1,
2010106897-9,
2010106898-7,
2010106899-5,
2010106900-1,
2010106901-9,
2010106902-7,
2010106903-5,
2010106904-3,
2010106905-0,
2010106906-8,
2010106908-4,
2010106909-2,
2010106910-0,
2010106912-6,
2010106913-4,
2010106914-2,
2010106915-9,
2010106916-7,
2010106917-5,
2010106918-3,
2010106919-1,
2010106920-9,
2010106921-7,
2010106922-5,
2010106924-1,
2010106925-8,
2010106926-6,
2010106927-4,
2010106928-2,
2010106929-0,
2010106930-8,
2010106931-6,
2010106932-4,
2010106933-2,
2010106934-0,
2010106935-7,
2010106936-5,
2010106937-3,
2010106938-1,
2010106939-9,
2010106940-7,
2010106941-5,
2010106942-3,
2010106943-1,
2010106944-9,
2010106945-6,
2010106947-2,
2010106948-0,
2010106949-8,
2010106950-6,
2010106951-4,
2010106952-2,
2010106953-0,
2010106954-8,
2010106955-5,
2010106956-3,
2010106957-1,
2010106958-9,
2010106959-7,
2010106960-5,
2010106962-1,
2010106963-9,
2010106964-7,
2010106965-4,
2010106966-2,
2010106967-0,
2010106967-7,
2010106968-8,
2010106969-6,
2010106970-4,
2010106971-2,
2010106972-0,
2010106973-8,
2010106974-6,
2010106977-9,
2010106978-7,
2010106979-5,
2010106980-3,
2010106981-1,
2010106982-9,
2010106983-7,
2010106984-5,
2010106985-2,
2010106986-0,
2010106987-8,
2010106988-6,
2010106989-4,
2010106990-2,
2010106991-0,
2010106992-8,
2010106993-6,
2010106995-1,
2010106996-9,
2010106998-5,
2010106999-3,
2010107000-9,
2010107001-7,
2010107002-5,
2010107003-3,
2010107004-1,
2010107005-8,
2010107006-6,
2010107007-4,
2010107008-2,
2010107011-6,
2010107012-4,
2010107013-2,
2010107014-0,
2010107015-7,
2010107016-5,
2010107017-3,
2010107018-1,
2010107019-9,
2010107020-7,
2010107021-5,
2010107022-3,
2010107023-1,
2010107024-9,
2010107025-6,
2010107026-4,
2010107028-0,
2010107029-8,
2010107030-6,
2010107031-4,
2010107032-2,
2010107033-0,
2010107034-8,
2010107036-3,
2010107037-1,
2010107038-9,
2010107039-7,
2010107040-5,
2010107041-3,
2010107042-1,
2010107043-9,
2010107044-7,
2010107045-4,
2010107046-2,
2010107047-0,
2010107048-8,
2010107050-4,
2010107051-2,
2010107052-0,
2010107053-8,
2010107055-3,
2010107056-1,
2010107057-9,
2010107058-7,
2010107059-5,
2010107060-3,
2010107061-1,
2010107062-9,
2010107063-7,
2010107064-5,
2010107065-2,
2010107066-0,
2010107067-8,
2010107068-6,
2010107069-4,
2010107070-2,
201010707049-6.DC,
2010107071-0,
2010107072-8,
2010107074-4,
2010107075-1,
2010107076-9,
2010107077-7,
2010107078-5,
2010107079-3,
2010107080-1,
2010107081-9,
2010107082-7,
2010107083-5,
2010107084-3,
2010107085-0,
2010107086-8,
2010107088-4,
2010107089-2,
2010107090-0,
2010107091-8,
2010107092-6,
2010107093-4,
2010107094-2,
2010107095-9,
2010107096-7,
2010107097-5,
2010107099-1,
2010107100-7,
2010107102-3,
2010107103-1,
2010107105-6,
2010107106-4,
2010107107-2,
2010107108-0,
2010107109-8,
2010107110-6,
2010107111-4,
2010107112-2,
2010107113-0,
2010107115-5,
2010107116-3,
2010107117-1,
2010107118-9,
2010107119-7,
2010107120-5,
2010107122-1,
2010107123-9,
2010107124-7,
2010107125-4,
2010107126-2,
2010107127-0,
2010107128-8,
2010107129-6,
2010107130-4,
2010107131-2,
2010107132-0,
2010107133-8,
2010107134-6,
2010107135-3,
2010107136-1,
2010107137-9,
2010107138-7,
2010107139-5,
2010107141-1,
2010107142-9,
2010107143-7,
2010107144-5,
2010107145-2,
2010107146-0,
2010107147-8,
2010107148-6,
2010107150-2,
2010107151-0,
2010107152-8,
2010107153-6,
2010107154-4,
2010107155-1,
2010107156-9,
2010107158-5,
2010107159-3,
2010107160-1,
2010107161-9,
2010107162-7,
2010107163-5,
2010107164-3,
2010107165-0,
2010107166-8,
2010107167-6,
2010107168-4,
2010107169-2,
2010107170-0,
2010107171-8,
2010107173-4,
2010107174-2,
2010107175-9,
2010107177-5,
2010107178-3,
2010107179-1,
2010107181-7,
2010107182-5,
2010107183-3,
2010107184-1,
2010107186-6,
2010107187-4,
2010107188-2,
2010107189-0,
2010107190-8,
2010107191-6,
2010107192-4,
2010107193-2,
2010107194-0,
2010107195-7,
2010107196-5,
2010107197-3,
2010107198-1,
2010107199-9,
2010107200-5,
2010107201-2,
2010107203-9,
2010107204-7,
2010107205-4,
2010107206-2,
2010107207-0,
2010107209-6,
2010107210-4,
2010107211-2,
2010107212-0,
2010107213-8,
2010107214-6,
2010107215-3,
2010107216-1,
2010107217-9,
2010107218-7,
2010107219-5,
2010107220-3,
2010107221-1,
2010107222-9,
2010107223-7,
2010107224-5,
2010107225-2,
2010107226-0,
2010107227-8,
2010107228-6,
2010107229-4,
2010107230-2,
2010107231-0,
2010107232-8,
2010107233-6,
2010107234-4,
2010107235-1,
2010107236-9,
2010107237-7,
2010107238-5,
2010107239-3,
2010107240-1,
2010107241-9,
2010107242-7,
2010107243-5,
2010107244-3,
2010107245-0,
2010107246-8,
2010107247-6,
2010107248-4,
2010107249-2,
2010107250-0,
2010107251-8,
20101072523-4,
2010107252-6,
2010107254-2,
2010107255-9,
2010107256-7,
2010107257-5,
2010107258-3,
2010107259-1,
2010107260-9,
2010107261-7,
2010107263-3,
2010107264-1,
2010107265-8,
2010107266-6,
2010107267-4,
2010107268-2,
2010107269-0,
2010107270-8,
2010107272-4,
201010727276-5.DC,
2010107273-2,
2010107274-0,
2010107275-7,
2010107278-1,
2010107279-9,
2010107280-7,
2010107281-5,
2010107282-3,
2010107283-1,
2010107284-9,
2010107285-6,
2010107286-4,
2010107287-2,
2010107288-0,
2010107289-8,
2010107290-4,
2010107291-4,
2010107292-2,
2010107293-0,
2010107294-8,
2010107295-5,
2010107297-1,
2010107298-9,
2010107299-7,
2010107300-3,
2010107301-1,
2010107302-9,
2010107303-7,
2010107304-5,
2010107305-2,
2010107306-0,
2010107308-6,
2010107309-4,
2010107310-2,
2010107311-0,
2010107312-8,
2010107313-6,
2010107314-4,
2010107315-1,
2010107316-9,
2010107317-7,
2010107318-5,
2010107319-3,
2010107320-1,
2010107321-9,
2010107322-7,
2010107324-3,
2010107325-0,
2010107326-8,
2010107327-6,
2010107328-4,
2010107330-0,
2010107331-8,
2010107332-6,
2010107333-4,
2010107334-2,
2010107335-9,
2010107336-7,
2010107337-5,
2010107338-3,
2010107339-1,
2010107340-9,
2010107341-7,
2010107343-3,
2010107345-8,
2010107346-6,
2010107347-4,
2010107348-2,
2010107349-0,
2010107350-8,
2010107352-4,
2010107353-2,
2010107354-0,
2010107355-7,
2010107356-5,
2010107357-3,
2010107358-1,
2010107359-9,
2010107360-7,
2010107361-5,
2010107362-3,
2010107363-1,
2010107364-9,
2010107365-6,
2010107366-4,
2010107367-2,
2010107368-0,
2010107369-8,
2010107370-6,
2010107371-4,
2010107372-2,
2010107373-0,
2010107374-8,
2010107375-5,
2010107376-3,
2010107377-1,
2010107378-9,
2010107379-7,
2010107380-5,
2010107381-3,
2010107383-9,
2010107384-7,
2010107385-4,
2010107386-2,
2010107387-0,
2010107388-8,
2010107389-6,
2010107390-4,
2010107392-0,
2010107393-8,
2010107394-6,
2010107395-3,
2010107397-9,
2010107398-7,
2010107399-5,
2010107400-1,
2010107401-9,
2010107402-7,
2010107403-5,
2010107404-3,
2010107405-0,
2010107406-8,
2010107407-6,
2010107408-4,
2010107409-2,
2010107410-0,
2010107411-8,
2010107412-6,
2010107413-4,
2010107414-2,
2010107415-9,
2010107416-7,
2010107417-5,
2010107418-3,
2010107419-1,
2010107420-9,
2010107421-7,
2010107423-3,
2010107424-1,
2010107425-8,
2010107426-6,
2010107427-4,
2010107429-0,
2010107430-8,
2010107431-6,
2010107432-4,
2010107433-2,
2010107434-0,
2010107435-7,
2010107436-5,
2010107437-3,
2010107438-1,
2010107439-9,
2010107440-7,
2010107441-5,
2010107442-3,
2010107444-9,
2010107445-6,
2010107446-4,
2010107447-2,
2010107449-8,
2010107450-6,
2010107451-4,
2010107452-2,
2010107453-0,
2010107454-8,
2010107455-5,
2010107456-3,
2010107457-1,
2010107458-9,
2010107459-7,
2010107460-5,
2010107461-3,
2010107462-1,
2010107463-9,
2010107464-7,
2010107465-4,
2010107466-2,
2010107467-0,
2010107468-8,
2010107469-6,
2010107470-4,
2010107471-2,
2010107472-0,
2010107473-8,
2010107474-6,
2010107475-3,
2010107476-1,
2010107477-9,
2010107478-7,
2010107479-5,
2010107480-3,
2010107481-1,
2010107482-9,
2010107483-7,
2010107484-5,
2010107485-2,
2010107486-0,
2010107487-8,
2010107488-6,
2010107489-4,
2010107491-0,
2010107492-8,
2010107493-3,
2010107494-4,
2010107495-1,
2010107496-9,
2010107497-7,
2010107498-5,
2010107499-3,
2010107500-8,
2010107501-6,
2010107502-4,
2010107503-2,
2010107504-0,
2010107505-7,
2010107506-5,
2010107507-3,
2010107508-1,
2010107509-9,
2010107511-5,
2010107512-3,
2010107513-1,
2010107514-9,
2010107515-6,
2010107516-4,
2010107517-2,
2010107518-0,
2010107519-8,
2010107520-6,
2010107521-4,
2010107522-2,
2010107523-0,
2010107524-8,
2010107525-5,
2010107526-3,
2010107527-1,
2010107528-9,
2010107529-7,
2010107530-5,
2010107531-3,
2010107532-1,
2010107534-7,
2010107535-4,
2010107536-2,
2010107538-8,
2010107539-6,
2010107540-4,
2010107541-2,
2010107542-0,
2010107543-8,
2010107544-6,
2010107545-3,
2010107546-1,
2010107547-9,
2010107548-7,
2010107549-5,
2010107550-3,
2010107551-1,
2010107552-9,
2010107553-7,
2010107554-5,
2010107555-2,
2010107556-0,
2010107557-8,
2010107558-6,
2010107559-4,
2010107562-8,
2010107563-6,
2010107564-4,
2010107565-1,
2010107566-9,
2010107567-7,
2010107568-5,
2010107569-3,
2010107570-1,
2010107572-7,
2010107573-5,
2010107574-3,
2010107575-0,
2010107577-6,
2010107579-2,
2010107580-0,
2010107581-8,
2010107582-6,
2010107583-4,
2010107585-9,
2010107586-7,
2010107587-5,
2010107588-3,
2010107589-1,
2010107590-9,
2010107591-7,
2010107592-5,
2010107595-8,
2010107596-6,
2010107597-4,
2010107598-2,
2010107599-0,
2010107600-6,
2010107601-4,
2010107602-2,
2010107604-8,
2010107605-4,
2010107606-3,
2010107607-1,
2010107608-9,
2010107609-7,
2010107610-5,
2010107611-3,
2010107612-1,
2010107613-9,
2010107614-7,
2010107615-4,
2010107616-2,
2010107617-0,
2010107618-8,
2010107620-4,
2010107621-2,
2010107622-0,
2010107623-8,
2010107624-6,
2010107625-3,
2010107626-1,
2010107627-9,
2010107628-7,
2010107629-5,
2010107630-3,
2010107631-1,
2010107632-9,
2010107633-7,
2010107634-5,
2010107635-2,
2010107636-0,
2010107637-8,
2010107638-6,
2010107639-4,
2010107640-2,
2010107641-0,
2010107642-8,
2010107643-6,
201010764-4,
2010107645-1,
2010107647-7,
2010107649-3,
2010107651-9,
2010107652-7,
2010107653-5,
2010107654-3,
2010107655-0,
2010107656-8,
2010107657-6,
2010107658-4,
2010107660-0,
2010107661-8,
2010107664-2,
2010107665-9,
2010107666-7,
2010107667-5,
2010107668-3,
2010107670-9,
2010107671-7,
2010107672-5,
2010107673-3,
2010107674-1,
2010107677-4,
2010107678-2,
2010107680-8,
2010107682-4,
2010107685-7,
2010107686-5,
2010107687-3,
2010107688-1,
2010107689-9,
2010107846-5,
2010108261-6,
2010108262-4,
2010108265-7,
2010108266-5,
2010108267-3,
2010108268-1,
2010108269-9,
2010108270-7,
2010108271-5,
2010108272-3,
2010108273-1,
2010108274-9,
2010108275-6,
2010108287-1,
2010108288-9,
2010108289-7,
2010108290-5,
2010108291-3,
2010108292-1,
2010108293-9,
2010108294-7,
2010108295-4,
2010108296-2,
2010108297-0,
2010108300-2,
2010108301-0,
2010108303-6,
2010108304-4,
2010108305-1,
2010108306-9,
2010108307-7,
2010108308-5,
20101083-2,
2010108348-1,
2010108350-7,
2010108351-5,
2010108352-3,
2010108353-1,
2010108354-9,
2010108356-4,
2010108383-8,
2010108386-1,
2010108388-7,
2010108390-3,
2010108391-1,
2010108393-7,
2010108432-3,
201016044-8,
20103466-6,
20103831-1,
